Disease,Symptom_precaution_0,Symptom_precaution_1,Symptom_precaution_2,Symptom_precaution_3,numeric_label
AIDS,avoid open cuts,wear ppe if possible,consult doctor,follow up,null
Acne,bath twice,avoid fatty spicy food,drink plenty of water,avoid too many products,11
Alcoholic hepatitis,stop alcohol consumption,consult doctor,medication,follow up,null
Allergy,apply calamine,cover area with bandage,null,use ice to compress itching,19
Arthritis,exercise,use hot and cold therapy,try acupuncture,massage,10
Bronchial Asthma,switch to loose cloth,take deep breaths,get away from the trigger,seek help,12
Cervical spondylosis,use a heating pad or cold pack,exercise,take an otc pain reliever,consult a doctor,15
Chicken pox,use neem in bathing,consume neem leaves,take the vaccine,avoid public places,3
Chronic cholestasis,cold baths,anti itch medicine,consult doctor,eat healthy,null
Common Cold,drink vitamin c rich drinks,take vapour,avoid cold food,keep fever in check,7
Covid,cover mouth,social distancing,wear mask,medication,null
Dengue,drink papaya leaf juice,avoid fatty spicy food,keep mosquitos away,keep hydrated,5
Diabetes ,have balanced diet,exercise,consult doctor,follow up,23
Dimorphic hemorrhoids(piles),avoid fatty spicy food,consume witch hazel,warm bath with Epsom salt,consume aloe vera juice,9
Drug Reaction,stop irritation,consult nearest hospital,stop taking drug,follow up,21
Fungal infection,bath twice,use Detol or neem in bathing water,keep the infected area dry,use clean cloths,6
GERD,avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,20
Gastroenteritis,stop eating solid food for while,try taking small sips of water,rest,ease back into eating,null
Heart attack,call an ambulance,chew aspirin,keep calm,null,null
Hepatitis A,Consult nearest hospital,wash hands through,avoid fatty spicy food,medication,null
Hepatitis B,consult nearest hospital,vaccination,eat healthy,medication,null
Hepatitis C,Consult nearest hospital,vaccination,eat healthy,medication,null
Hepatitis D,consult doctor,medication,eat healthy,follow up,null
Hepatitis E,stop alcohol consumption,rest,consult doctor,medication,null
Hypertension ,meditation,salt baths,reduce stress,get proper sleep,13
Hyperthyroidism,eat healthy,massage,use lemon balm,take radioactive iodine treatment,null
Hypoglycemia,lie down on side,check in pulse,drink sugary drinks,consult doctor,null
Hypothyroidism,reduce stress,exercise,eat healthy,get proper sleep,null
Impetigo,soak affected area in warm water,use antibiotics,remove scabs with wet compressed cloth,consult doctor,4
Jaundice,drink plenty of water,consume milk thistle,eat fruits and high fibre food,medication,16
Malaria,Consult nearest hospital,avoid oily food,avoid non veg food,keep mosquitos out,17
Migraine,meditation,reduce stress,use polaroid glasses in sun,consult doctor,14
Osteoarthritis,acetaminophen,consult nearest hospital,follow up,salt baths,null
Paralysis (brain hemorrhage),massage,eat healthy,exercise,consult doctor,null
Paroxysmal Positional Vertigo,lie down,avoid sudden changes in the body,avoid abrupt head movement,relax,null
Peptic ulcer disease,avoid fatty spicy food,consume probiotic food,eliminate milk,limit alcohol,22
Pneumonia,consult doctor,medication,rest,follow up,8
Psoriasis,wash hands with warm soapy water,stop bleeding using pressure,consult doctor,salt baths,0
Tuberculosis,cover mouth,consult doctor,medication,rest,null
Typhoid,eat high calorie vegitables,antiboitic therapy,consult doctor,medication,2
Urinary tract infection,drink plenty of water,increase vitamin c intake,drink cranberry juice,take probiotics,18
Varicose veins,lie down flat and raise the leg high,use ointments,use vein compression,don't stand still for long,1
